date,headline_count,avg_sentiment,std_sentiment
2014-01-01,1,-0.0772,0.0
2014-01-02,1,-0.4404,0.0
2014-01-03,2,0.0,0.0
2014-01-04,1,0.0,0.0
2014-01-05,1,-0.2732,0.0
2014-01-06,1,0.743,0.0
2014-01-07,1,0.0,0.0
2014-01-08,1,0.0,0.0
2014-01-09,1,0.128,0.0
2014-01-13,2,-0.27115,0.0973686037693876
2014-01-14,1,0.0,0.0
2014-01-15,2,-0.5104500000000001,0.1257942963730869
2014-01-16,1,-0.2023,0.0
2014-01-18,2,-0.37495,0.14389622997146242
2014-01-19,2,-0.36819999999999997,0.1021062192033375
2014-01-22,1,0.3182,0.0
2014-01-23,2,-0.24695,0.3492400392280358
2014-01-27,1,0.6369,0.0
2014-01-29,2,0.0,0.0
2014-01-30,1,-0.4019,0.0
2014-02-02,1,-0.2732,0.0
2014-02-03,1,-0.1027,0.0
2014-02-04,1,0.0,0.0
2014-02-06,2,0.50935,0.1803829398806883
2014-02-11,1,0.0,0.0
2014-02-14,2,-0.2221,0.6341333613680958
2014-02-16,1,0.0,0.0
2014-02-17,2,-0.23835,0.33707780259162723
2014-02-22,1,-0.296,0.0
2014-02-26,1,0.802,0.0
2014-02-28,1,-0.296,0.0
2014-03-03,1,0.2023,0.0
2014-03-07,1,-0.0772,0.0
2014-03-11,1,0.128,0.0
2014-03-13,1,0.0,0.0
2014-03-15,1,0.0,0.0
2014-03-16,1,0.4019,0.0
2014-03-18,1,0.0,0.0
2014-03-20,1,0.0,0.0
2014-03-25,2,0.0,0.0
2014-03-29,1,0.0,0.0
2014-04-02,1,-0.4215,0.0
2014-04-03,1,0.1027,0.0
2014-04-04,1,0.0,0.0
2014-04-07,2,-0.0242,0.7327040466655005
2014-04-08,1,0.0,0.0
2014-04-10,1,-0.4019,0.0
2014-04-11,1,0.0,0.0
2014-04-15,2,-0.21075,0.29804550827012977
2014-04-19,1,0.0,0.0
2014-04-24,1,-0.3818,0.0
2014-04-26,2,0.1591,0.2250013777735594
2014-04-27,1,-0.5719,0.0
2014-04-29,1,-0.4019,0.0
2014-04-30,1,0.4019,0.0
2014-05-01,3,0.0,0.0
2014-05-02,1,0.0772,0.0
2014-05-08,3,0.3183666666666667,0.31845003271052325
2014-05-09,1,0.0,0.0
2014-05-12,1,-0.4404,0.0
